tituloPrincipal; tituloOriginal;genero;produtora;anoLancamento;tempoMinutos;notaMedia;numeroVotos
Happy-Go-Lucky Days;Dônika naru hibi;Animation,Drama,Romance;LIDENFILMS;2020;54;5.6;108
Horrid Henry's Gross Day Out;Horrid Henry's Gross Day Out;Action,Adventure,Animation;Novel Entertainment Productions;2020;61;5.8;46
Sing to the Dawn;Sing to the Dawn;Animation,Family,Musical;MediaCorp Raintree Pictures;2008;93;5.3;64
Farewell, My Dear Cramer: First Touch;Eiga: Sayonara watashi no Cramer: First Touch;Animation;LIDENFILMS;2021;104;6.8;55
Hataraku Saibo!! Saikyo no Teki, Futatabi. Karada no Naka wa Cho Osawagi!;Hataraku Saibo!! Saikyo no Teki, Futatabi. Karada no Naka wa Cho Osawagi!;Action,Animation,Sci-Fi;David Production;2020;115;7.3;91
Mars Needs Moms;Mars Needs Moms;Action,Adventure,Animation;Walt Disney Pictures;2011;88;5.4;22785
Genius Party Beyond;Genius Party Beyond;Animation;STUDIO4℃;2008;85;7;1024
Child of Kamiari Month;Kamiarizuki no kodomo;Adventure,Animation,Drama;Cretica Universal;2021;99;5.9;940
Life of a Mutt;Prizori iz zivota dzukca;Animation,Documentary;Talas Film;2021;77;8.8;17
Sing a Bit of Harmony;Ai no utagoe o kikasete;Animation,Drama,Music;J.C.STAFF;2021;109;7.2;491
Kek - The Movie;Kek - The Movie;Animation,Comedy;null;2021;73;8.9;12
Maken Liner 0011 Henshin Seyo!;Maken Liner 0011 Henshin Seyo!;Action,Adventure,Animation;Toei Animation;1972;50;5.7;9
Goat Story;Kozí príbeh;Animation,Comedy,Family;Art and Animation Studio;2008;82;3.4;556
Musashi: The Dream of the Last Samurai;Miyamoto Musashi: Sôken ni haseru yume;Action,Animation;null;2009;72;5.9;219
Paw Patrol: Jet to the Rescue;Paw Patrol: Jet to the Rescue;Adventure,Animation,Family;null;2020;56;5.6;219
Hells;Heruzu enjueruzu;Adventure,Animation,Comedy;Nippan Group Holdings;2008;117;6.3;307
Meta Runner Season 1 (Full Movie Cut);Meta Runner Season 1 (Full Movie Cut);Action,Adventure,Animation;null;2020;124;8.2;14
Legend of the Galactic Heroes: Die Neue These - Stellar War 2;Legend of the Galactic Heroes: The New Thesis - Stellar War 2;Action,Animation,Drama;Production I.G;2019;93;7.9;36
Jumper. Treasure Hunting 3D;Jumper. Treasure Hunting 3D;Animation;null;2020;72;5.2;21
Over the Sky;Kimi wa kanata;Animation,Drama,Fantasy;Digital Network Animation;2020;95;5.4;246
Octonauts & the Great Barrier Reef;Octonauts & the Great Barrier Reef;Action,Adventure,Animation;Silvergate Media;2020;47;6.6;156
Spider-Man Venom Saga;Spider-Man Venom Saga;Animation;null;2005;100;8.4;86
Fish School: Into the Deep;Fish School: Into the Deep;Animation,Documentary,Family;null;2020;60;7.4;14
Die seltsame Historia von den Schildbürgern;Die seltsame Historia von den Schildbürgern;Animation;DEFA-Studio für Trickfilme;1961;73;6.2;11
Sabel Redemption;Sabel Redemption;Action,Adventure,Animation;null;2009;82;7.8;17
World Gone Mad;World Gone Mad;Action,Animation,Sci-Fi;WorldofGrim Productions;2008;84;2.8;13
The Thanksgiving Movie;The Thanksgiving Movie;Animation,Family;WOWNow Entertainment;2020;77;4.7;22
When Stars Align;When Stars Align;Adventure,Animation,Fantasy;null;2020;45;8.2;14
Chilly Beach: The Canadian President;Chilly Beach: The Canadian President;Animation;null;2008;90;4.3;135
Iesu! Purikyua 5 gô gô! Okashi no kuni no happî bâsudei;Iesu! Purikyua 5 gô gô! Okashi no kuni no happî bâsudei;Action,Animation,Drama;Toei Animation;2008;72;6.8;28
31 minutos, la película;31 minutos, la película;Action,Adventure,Animation;User T-38;2008;87;6.8;551
Natsume's Book of Friends: The Waking Rock and the Strange Visitor;Natsume Yuujinchou: Ishi Okoshi to Ayashiki Raihousha;Animation;Shuka;2021;0;7.3;158
Hello! Tapir;Hello! Tapir;Animation,Drama,Fantasy;MM2 Entertainment;2020;88;6.6;33
Back to the Jurassic;Dino Time;Adventure,Animation,Comedy;CJ Entertainment;2012;86;4.7;1597
Bal Ganesh and the PomZom Planet;Bal Ganesh and the PomZom Planet;Animation;null;2017;81;4.3;16
Despicable Me;Despicable Me;Adventure,Animation,Comedy;Illumination;2010;95;7.6;548286
El sol;El sol;Action,Animation,Comedy;Crudo Films;2009;72;6.4;78
Max Steel: Makino's Revenge;Max Steel: Makino's Revenge;Action,Adventure,Animation;Rainmaker Entertainment;2011;50;5.3;8
Angela's Christmas Wish;Angela's Christmas Wish;Adventure,Animation,Comedy;Brown Bag Films;2020;47;7.1;1505
Até ao Tecto do Mundo;Até ao Tecto do Mundo;Action,Animation,Comedy;Cine-Clube de Avanca;2006;74;7.9;15
Nezha Reborn;Xin shen bang: Ne Zha chong sheng;Action,Animation,Fantasy;bilibili;2021;118;6.8;3337
Poupelle of Chimney Town;Eiga Entotsumachi no Puperu;Animation,Family,Fantasy;Yoshimoto Kogyo;2020;100;6.4;448
Wave!!: Surfing Yappe!! Movie 1;Wave!!: Surfing Yappe!! Movie 1;Animation;Asahi Production;2020;0;6.8;13
Kapitan Bomba - Kutapokalipsa;Kapitan Bomba - Kutapokalipsa;Animation;null;2012;54;7.6;36
Mobile Suit Gundam: Hathaway;Kidô senshi Gandamu: Senkô no Hasauei;Action,Animation,Drama;SUNRISE;2021;95;6.6;1534
Pets 2;Pets 2;Animation,Comedy,Family;WOWNow Entertainment;2021;65;4.8;39
Bobbleheads: The Movie;Bobbleheads: The Movie;Animation,Family;Universal 1440 Entertainment;2020;82;2.3;393
Freddy vs. Jason vs. Ash Comic Film;Freddy vs. Jason vs. Ash Comic Film;Animation,Horror;null;2020;72;7.1;16
Eflâtun;Eflâtun;Animation,Drama,Romance;Karakuş Film;2022;103;5;169
The Apostle;O Apóstolo;Animation,Horror;Artefacto producciones;2012;84;6.8;804
Dennis & Gnasher: Unleashed! On the Big Screen;Dennis & Gnasher: Unleashed! On the Big Screen;Animation;null;2020;70;6.6;11
Pretty Cure Miracle Leap the Movie;Eiga Purikyua Mirakuru Ripu: Min'na to no Fushigi na Ichinichi;Animation,Fantasy;Toei Animation;2020;0;7.3;12
Legend of the Galactic Heroes: Die Neue These - Stellar War 3;The Legend of the Galactic Heroes: Die Neue These - Seiran 3;Action,Animation,Drama;Production I.G;2019;93;8;44
Attila and the Great Blue Bean;Attila and the Great Blue Bean;Action,Adventure,Animation;null;2007;73;6.9;25
Scooby-Doo Meets Batman;Scooby-Doo Meets Batman;Adventure,Animation,Family;Hanna-Barbera Productions;1972;77;7;385
Snow White: The Sequel;Blanche Neige, la suite;Animation,Comedy,Fantasy;YC Alligator Film;2007;82;4.6;453
Evangelion: 1.0 You Are (Not) Alone;Evangelion Shin Gekijôban: Jo;Action,Animation,Drama;khara;2007;98;7.6;24615
We Are the Strange;We Are the Strange;Action,Adventure,Animation;Str8nime;2007;88;5.3;634
Around June;Around June;Animation,Drama,Fantasy;Fog City Pictures;2008;93;5.2;189
Too Loud a Solitude;Too Loud a Solitude;Animation,Drama;null;2007;0;6.4;31
Loranga, Masarin & Dartanjang;Loranga, Masarin & Dartanjang;Animation,Family;Happy Life;2005;52;6.7;297
Midori;Shôjo tsubaki: Chika gentô gekiga;Animation,Drama,Horror;Kiryûkan;1992;47;6.6;2722
One Night in a City;Jedné noci v jednom meste;Animation,Comedy,Horror;null;2007;76;6.9;408
